anchor_id,book,translation_count,mean_pairwise_cosine,min_pairwise_cosine,mean_length_ratio,anchor_confidence
book_01,1,6,0.286059,0.138788,0.876108,0.522079
book_02,2,6,0.28952,0.157853,0.872832,0.522845
book_03,3,6,0.359246,0.239828,0.898974,0.575137
book_04,4,6,0.340484,0.177055,0.901305,0.564812
book_05,5,6,0.352019,0.257468,0.903987,0.572807
book_06,6,6,0.29383,0.1373,0.866782,0.523011
book_07,7,6,0.300816,0.215655,0.907528,0.5435
book_08,8,6,0.337847,0.211424,0.877932,0.553881
book_09,9,6,0.351129,0.253195,0.89121,0.567162
book_10,10,6,0.355131,0.219248,0.90498,0.57507
book_11,11,6,0.348554,0.22614,0.904771,0.57104
book_12,12,6,0.329786,0.162247,0.890663,0.554137
book_13,13,6,0.315065,0.194971,0.873507,0.538442
book_14,14,6,0.316899,0.193764,0.872401,0.5391
book_15,15,6,0.367877,0.215584,0.871915,0.569492
book_16,16,6,0.311538,0.196679,0.856613,0.529568
book_17,17,6,0.313249,0.223462,0.886317,0.542476
book_18,18,6,0.329322,0.242849,0.867318,0.544521
book_19,19,6,0.303641,0.144911,0.87984,0.53412
book_20,20,6,0.266654,0.107396,0.859658,0.503856
book_21,21,6,0.431252,0.312543,0.877381,0.609703
book_22,22,6,0.34148,0.218125,0.863895,0.550446
book_23,23,6,0.268336,0.146151,0.859982,0.504994
book_24,24,6,0.361489,0.255545,0.87794,0.56807
